numero_marche,objet,montant_initial,date_notification,nature,acheteur,supports,idweb_boamp,notice_ted,aws_idm,version_schema,source_entree
2461V22,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
24V21,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
2550933,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 2 (B061) : biens 1, 3, 5, 6 , 11, 12 et 13",435000.0,2024-07-31,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2550937,"La Société du Canal Seine Nord Europe procède à la déconstruction totale ou partielle de bâtis dans le cadre de la construction du Canal, comprenant les travaux de désamiantage et de démolition, la gestion des déchets, le traitement des sources de pollution concentrées, généralement circonscrites à des zones limitées et la mise en place de dispositifs interdisant l’accès aux sites . - Lot 3 (B061) : biens de 14 à 18",710000.0,2024-07-31,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2559956,Lot 3 - Fouilles archéologiques - Protohistoire,110000.0,2024-07-15,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2560166,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Sauchy Lestrée (Pas?de?Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE?2023?44?T022?A4 en date du 26/09/2023, et complété par l’arrêté modificatif CSNE?2024?44?T022?A5 en date du 16/01/2024.",688767.5,2024-07-19,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2573559,Lot 1 - Construction de quais travaux à Noyon,1234448.0,2024-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2573567,Lot 2 : Construction de quais travaux à Aubencheul-au-Bac dans le cadre du projet du Canal Seine Nord Europe.,2524660.12,2024-09-30,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2583544,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ALLAINES (Somme) pour le S3 - Tranche opérationnelle 16 - Fouilles I - S3F02,1795605.35,2024-10-24,Marché,82953599600039,AIFE_PLACE,,,,2022,DECP-consolides
2588V12,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
2588ZM82,,,,marché (page SCSNE),SCSNE,page-SCSNE,,,,,page-SCSNE
