id,_type,objet,nature,source,codeCPV,montant,dureeMois,formePrix,procedure,offresRecues,dateNotification,datePublicationDonnees,dateSignature,acheteur_id,acheteur_nom,titulaires_siret,titulaires_nom,lieuExecution_code,typeGroupementOperateurs,modifications,ref__file_date,correction_doublon,acheteur_siren,acheteur_siret,acheteur_luhn,titulaires_siret_norm,titulaires_siren,titulaires_luhn,cle_dedup,statut_dedup,rne_statut
2560166,Marché,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Sauchy Lestrée (Pas?de?Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE?2023?44?T022?A4 en date du 26/09/2023, et complété par l’arrêté modificatif CSNE?2024?44?T022?A5 en date du 16/01/2024.
",Marché,AIFE_PLACE,45112000-5,688767.5,5,Mixte,Procédure avec négociation,5,2024-07-19,2024-09-27,,82953599600039,,22620001200012,,60,Pas de groupement,,2026-06-18 09:15:33,,829535996,82953599600039,OK,22620001200012,226200012,OK,2560166|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2573559,Marché,Lot 1 - Construction de quais travaux à Noyon ,Marché,AIFE_PLACE,45241100-9,1234448.0,12,Mixte,Appel d'offres ouvert,6,2024-09-30,2024-10-10,,82953599600039,,32065170600071,,60,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,32065170600071,320651706,OK,2573559|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2573567,Marché,"Lot 2 : Construction de quais travaux à Aubencheul-au-Bac dans le cadre du projet du Canal Seine Nord Europe.
",Marché,AIFE_PLACE,45241100-9,2524660.12,15,Mixte,Appel d'offres ouvert,5,2024-09-30,2024-10-10,,82953599600039,,34902695500253,,60,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,34902695500253,349026955,OK,2573567|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2583544,Marché,Marché subséquent sur le Lot 3 - Protohistoire de l'AC 20TRI053C portant sur des fouilles archéologiques préventives sur le territoire de la commune d'ALLAINES (Somme) pour le S3 - Tranche opérationnelle 16 - Fouilles I - S3F02,Marché,AIFE_PLACE,45112000-5,1795605.35,15,Forfaitaire,Procédure avec négociation,2,2024-10-24,2024-10-31,,82953599600039,,49182568300205,,80,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,49182568300205,491825683,OK,2583544|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2596399,Marché,FOURNITURE DE NICHOIRS A OISEAUX ET GITES A CHAUVES-SOURIS POUR LES SECTEURS 2 A 4 DU CANAL SEINE-NORD EUROPE (marché B117),Marché,AIFE_PLACE,39142000-9,89750.0,8,Unitaire,Procédure adaptée,2,2024-11-18,2024-11-19,,82953599600039,,77571066800028,,60,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,77571066800028,775710668,OK,2596399|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2598984,Marché,Fouilles archéologiques   - PALEOLITHIQUE,Marché,AIFE_PLACE,45112450-4,6950994.01,63,Forfaitaire,Appel d'offres ouvert,2,2024-10-08,2024-11-26,,82953599600039,,18009226400225,,62,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,18009226400225,180092264,OK,2598984|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2606349,Marché," Fouille archéologique préventive à Moislains (Somme) secteur 3, tranche opérationnelle 16 (S3-T016) site 8 – Fouille H",Marché,AIFE_PLACE,45112000-5,1799193.49,31,Mixte,Procédure avec négociation,4,2024-11-21,2024-11-29,,82953599600039,,49182568300205,,80,Pas de groupement,,2026-06-18 03:51:50,,829535996,82953599600039,OK,49182568300205,491825683,OK,2606349|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2641604,Marché,B024_MS_S2F01_ Marché subséquent sur accord-cadre 20TRI053C (lot 3)_Fouilles archéologiques préventives à Noyon (secteur 2)_ Fouille K,Marché,AIFE_PLACE,45112000-5,2135740.07,8,Forfaitaire,Marché passé sans publicité ni mise en concurrence préalable,4,2025-01-14,2025-01-14,,82953599600039,,49182568300205,,60,Pas de groupement,,2026-06-19 03:43:03,,829535996,82953599600039,OK,49182568300205,491825683,OK,2641604|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2642049,Marché,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE -LOT 1 Tous risques chantier et montage essais",Marché,AIFE_PLACE,66513200-1,2288120.35,96,Unitaire,Procédure avec négociation,6,2025-01-02,2025-01-21,,82953599600039,,77568476402155,,60,Pas de groupement,,2026-06-18 09:28:17,,829535996,82953599600039,OK,77568476402155,775684764,OK,2642049|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2642059,Marché,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 2 Responsabilité civile Maître d'Ouvrage",Marché,AIFE_PLACE,66516000-0,447412.3,96,Unitaire,Procédure avec négociation,6,2024-12-31,2025-01-21,,82953599600039,,51302326700034,,60,Pas de groupement,,2026-06-18 09:28:17,,829535996,82953599600039,OK,51302326700034,513023267,OK,2642059|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2642069,Marché,"Assurances travaux du secteur 1 et responsabilité civile 
3 lots TRC, RCMO et RCAE - LOT 3 Responsabilité civile atteinte à l'environnement ",Marché,AIFE_PLACE,66516000-0,321550.0,96,Unitaire,Procédure avec négociation,6,2024-12-31,2025-01-21,,82953599600039,,51302326700034,,60,Pas de groupement,,2026-06-18 09:28:17,,829535996,82953599600039,OK,51302326700034,513023267,OK,2642069|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2642834,Marché,Marché de prestations intellectuelles portant sur une mission d’Assistance à Maitrise d'Ouvrage Achats dans le cadre de la passation et l’exécution des contrats pour la Société du Canal Seine-Nord Europe.,Marché,AIFE_PLACE,71318000-0,2000000.0,49,Unitaire,Appel d'offres ouvert,7,2025-01-15,2025-01-15,,82953599600039,,79456904600053,,60,Pas de groupement,,2026-06-19 03:43:03,,829535996,82953599600039,OK,79456904600053,794569046,OK,2642834|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2655388,Marché,"Le marché subséquent objet de la présente consultation a pour objet une fouille archéologique préventive à Bourlon et Marquion (Pas-de-Calais) secteur 4, prescrite par l’arrêté de prescription de fouilles CSNE-2024-52-T029-A7 en date du 16/05/2024.",Marché,AIFE_PLACE,45112000-5,9466564.66,18,Mixte,Procédure avec négociation,3,2025-01-31,2025-02-03,,82953599600039,,18009226400225,,60,Pas de groupement,,2026-06-18 09:28:17,,829535996,82953599600039,OK,18009226400225,180092264,OK,2655388|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2662683,Marché,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M211-2.1-Sud,Marché,AIFE_PLACE,77211400-6,708450.38,22,Unitaire,Appel d'offres ouvert,3,2025-02-10,2025-08-07,,82953599600039,,38820142800058,,60,Pas de groupement,,2026-06-19 03:55:56,,829535996,82953599600039,OK,38820142800058,388201428,OK,2662683|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
2662688,Marché,Déboisement - Secteur 2 - Canal Seine-Nord Europe - M212-2.2-Nord,Marché,AIFE_PLACE,77211400-6,446701.65,9,Unitaire,Appel d'offres ouvert,3,2025-02-10,2025-11-12,,82953599600039,,38820142800058,,60,Pas de groupement,,2026-06-18 09:53:58,,829535996,82953599600039,OK,38820142800058,388201428,OK,2662688|82953599600039|AIFE_PLACE,UNIQUE,RESOLU
