idpeps;nominstallation;codeeicresourceobject;codeiris;codeinseecommune;commune;codeepci;epci;codedepartement;departement;coderegion;region;codeiriscommuneimplantation;codeinseecommuneimplantation;codes3renr;dateraccordement;datederaccordement;datemiseenservice;datedebutversion;postesource;tensionraccordement;moderaccordement;codefiliere;filiere;codecombustible;combustible;codescombustiblessecondaires;combustiblessecondaires;codetechnologie;technologie;typestockage;puismaxinstallee;puismaxraccharge;puismaxcharge;puismaxrac;puismaxinstalleedischarge;nbgroupes;nbinstallations;regime;energiestockable;capacitereservoir;hauteurchute;productible;debitmaximal;codegestionnaire;gestionnaire;energieannuelleglissanteinjectee;energieannuelleglissanteproduite;energieannuelleglissantesoutiree;energieannuelleglissantestockee;maxpuis;datemiseenservice_date
17X100A100A0001A-50045296662202;ENERTRAG LACAUNE SCS D ESCOURNADOUYRE;17W000000956144O;811240000;81124;Lacaune;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81124;;02/10/2019;;02/10/2019;01/07/2023;COUFF;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;10863.0;;;10863.0;;1;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;31800391;;;;10863.0;2019-10-02
17X100A100A0001A-50068844625016;Confidentiel;17W000000460650V;811240000;81124;Lacaune;200066553;CC des Monts de Lacaune et de la Montagne du Haut Languedoc;81;Tarn;76;Occitanie;;81124;;13/12/2017;;13/12/2017;01/07/2023;COUFF;HTA;Direct;EOLIE;Eolien;;;;;TERRE;Terrestre;;13036.0;;;13036.0;;1;1;En service;0.0;0.0;0.0;0.0;0.0;17X100A100A0001A;Enedis;40207877;;;;13036.0;2017-12-13
